石	vyq
月	vuq
钅	viq
纟	voq
讠	vpq
氵	vhq
亻	vjq
扌	vkq
木	vlq
忄	vnq
山	vmq
儿	ngq
而	ngq
耳	ngq
二	ngq
邑	ngq
丷	bq
八	bq
白	bq
勹	bq
贝	bq
卜	bq
不	bq
鼻	biq
匕	biq
髟	biq
冫	biq
疒	biq
艹	cq
廾	cq
厂	chq
车	chq
齿	chq
彳	chq
赤	chq
虫	chuq
巛	chuq
寸	cuq
大	dq
歹	dq
刂	dq
⺈	dq
刀	dq
斗	dq
豆	dq
丶	diq
方	fq
非	fq
风	fq
缶	fq
阜	fq
父	fq
宀	gq
戈	gq
革	gq
鬲	gq
艮	gq
弓	guq
工	guq
骨	guq
谷	guq
瓜	guq
广	guq
鬼	guq
禾	hq
黑	hq
一	hq
虍	huq
户	huq
火	huq
灬	huq
牙	ngiq
言	ngiq
羊	ngiq
业	ngiq
衣	ngiq
音	ngiq
尢	ngiq
酉	ngiq
又	ngiq
页	ngiq
衤	ngiq
几	jiq
己	jiq
见	jiq
角	jiq
卩	jiq
巾	jiq
金	jiq
斤	jiq
臼	jiq
口	kq
囗	kuq
匚	kuq
冂	kuq
凵	kuq
老	lq
耒	lq
力	liq
立	liq
龙	luq
鹿	luq
马	mq
毛	mq
矛	mq
门	mq
母	mq
目	mq
米	miq
冖	miq
皿	miq
鸟	niq
牛	niq
女	nvq
攵	pq
夊	pq
皮	piq
片	piq
丿	piq
气	qiq
欠	qiq
犭	qvq
犬	qvq
人	rq
日	rq
肉	rq
三	sq
糸	sq
厶	sq
罒	sq
彡	shq
舌	shq
身	shq
尸	shq
十	shq
食	shq
矢	shq
豕	shq
礻	shq
士	shq
示	shq
手	shq
首	shq
饣	shq
殳	shuq
鼠	shuq
丨	shuq
水	shuq
亠	tq
田	tiq
土	tuq
瓦	nguq
王	nguq
韦	nguq
文	nguq
用	ngvq
羽	ngvq
雨	ngvq
玉	ngvq
聿	ngvq
鱼	ngvq
夕	xiq
覀	xiq
香	xiq
小	xiq
⺌	xiq
心	xiq
辛	xiq
行	xiq
穴	xvq
彐	xvq
血	xvq
子	zq
辶	zq
走	zq
廴	zq
乛	zhq
支	zhq
止	zhq
豸	zhq
舟	zhq
竹	zhuq
爪	zhuq
隹	zhuq
足	zuq
