# 二简词
be	表示
bq	并且
bt	不同
bx	不行
by	不要
cc	从此
cg	错过
cm	聪明
cq	采取
cx	操心
dn	电脑
dx	大小
ec	上次
ey	使用
fc	服从
fg	中国
fh	符合
gc	刚才
gk	赶快
hc	花草
hk	很快
kc	快餐
kk	可靠
ln	两年
mt	明天
mx	梦想
my	满意
np	哪怕
pe	平时
pq	脾气
pt	平台
px	平安
py	拼音
rc	如此
rg	人工
rh	如何
rm	人们
rq	日期
rs	热搜
rx	热线
sc	三次
sg	搜狗
sm	司马
sq	索取
sx	思想
tn	太难
tx	同学
tq	天气
wc	为此
wq	完全
yc	因此
yj	以及
ym	郁闷
yn	一年
yq	要求
yr	有人
yx	有些
yx	以下
yx	因而
zc	字词
zf	做饭
zg	字根
zm	在吗
zq	组长
zt	昨天
zx	仔细
# 630
ba	不能
baa	步骤
bai	不了
bao	宝贝
bau	不好
bav	办法
bi	不但
bia	不仅
bii	别人
bio	不错
biu	不少
biv	不会
bo	不是
boa	不让
boi	便是
boo	表情
bou	不断
bov	毕竟
bu	不用
bua	不然
bui	别的
buo	部分
buu	必须
buv	不管
bv	不过
bva	不到
bvi	不想
bvo	本来
bvu	变成
bvv	白天
ca	参加
caa	曾经
cai	错了
cao	才能
cau	刺激
cav	脆弱
ci	操作
cia	从中
cii	此人
cio	促销
ciu	从小
civ	从此
co	才是
coa	测试
coi	此时
coo	匆忙
cou	此前
cov	此刻
cu	采用
cua	此外
cui	摧毁
cuo	参考
cuu	厕所
cuv	侧重
cv	存在
cva	参与
cvi	从事
cvo	从来
cvu	才有
cvv	从未
da	到了
daa	大约
dai	肚子
dao	都能
dau	打架
dav	登录
di	多少
dia	当中
dii	多个
dio	短信
diu	动作
div	都会
do	但是
doa	的话
doi	都是
doo	大家
dou	弟弟
dov	地方
du	当然
dua	多么
dui	独自
duo	读者
duu	等待
duv	打算
dv	东西
dva	大概
dvi	底下
dvo	大哥
dvu	都有
dvv	对于
ea	生活
eaa	实验
eai	身子
eao	失败
eau	实力
eav	说法
ei	时候
eia	世界
eii	收获
eio	时光
eiu	数据
eiv	身上
eo	时间
eoa	说话
eoi	数量
eoo	事情
eou	说着
eov	声音
eu	什么
eua	舒服
eui	是的
euo	十分
euu	稍微
euv	上午
ev	手机
eva	收到
evi	剩下
evo	上来
evu	上面
evv	属于
fa	只能
faa	纷纷
fai	房子
fao	否则
fau	只好
fav	发展
fi	这个
fia	这里
fii	专业
fio	非常
fiu	直接
fiv	这些
fo	知道
foa	中心
foi	只是
foo	方案
fou	之前
fov	这次
fu	这么
fua	服务
fui	方向
fuo	这都
fuu	之后
fuv	这种
fv	这样
fva	找到
fvi	只要
fvo	发起
fvu	只有
fvv	发现
ga	更加
gaa	高级
gai	过了
gao	关注
gau	更好
gav	公司
gi	工作
gia	刚刚
gii	赶紧
gio	关键
giu	根据
giv	观点
go	感觉
goa	告诉
goi	更是
goo	国家
gou	跟着
gov	改变
gu	关系
gua	更多
gui	各自
guo	感受
guu	过后
guv	各种
gv	过去
gva	感到
gvi	根本
gvo	过来
gvu	尴尬
gvv	关于
ha	还没
haa	缓缓
hai	好了
hao	还能
hau	还好
hav	喝酒
hi	好像
hia	后果
hii	行业
hio	黄金
hiu	很少
hiv	还会
ho	还是
hoa	好吧
hoi	会是
hoo	回家
hou	呼吸
hov	何况
hu	好的
hua	很多
hui	浑身
huo	或者
huu	还行
huv	合适
hv	还有
hva	回到
hvi	还要
hvo	回来
hvu	后面
hvv	后天
ja	继续
jaa	成绩
jai	除了
jao	绝对
jau	就好
jav	记录
ji	结果
jia	家里
jii	几个
jio	经常
jiu	就像
jiv	就会
jo	就是
joa	建议
joi	及时
joo	决定
jou	成为
jov	解决
ju	觉得
jua	竟然
jui	阶段
juo	进入
juu	进行
juv	就算
jv	今天
jva	计划
jvi	就要
jvo	出来
jvu	就有
jvv	出现
ka	可以
kaa	看书
kai	看出
