b	不
bb	宾
bc	表
bd	别
bf	办
bg	并
bh	白
bj	部
bk	比
bl	拨
bm	变
bn	本
bp	帮
br	蹦
bs	把
bw	被
bz	报
c	才
cb	催
cd	凑
ce	测
cf	参
ch	菜
cj	粗
ck	次
cl	错
cn	岑
cp	藏
cr	曾
cs	擦
ct	窜
cw	存
cy	从
cz	草
d	的
db	对
dc	掉
dd	都
de	得
df	但
dg	定
dh	代
dj	读
dk	地
dl	多
dm	点
dp	当
dq	丢
dr	等
ds	大
dt	短
dw	顿
dy	动
dz	到
e	是
eb	水
ed	收
ee	设
ef	山
eg	帅
eh	晒
ej	数
ek	时
el	说
em	双
en	神
ep	上
eq	刷
er	生
es	啥
et	拴
ew	谁
ex	双
ez	少
f	这
fb	追
fd	周
fe	着
ff	反
fj	服
fk	之
fl	桌
fm	装
fn	分
fp	放
fq	抓
fr	风
fs	发
ft	转
fw	飞
fx	装
fy	中
fz	找
g	个
gb	规
gd	够
ge	各
gf	干
gg	乖
gh	该
gj	古
gl	过
gm	光
gn	跟
gp	刚
gq	挂
gr	更
gs	嘎
gt	关
gw	给
gx	光
gy	共
gz	高
h	和
hb	会
hd	后
he	合
hf	汉
hg	坏
hh	还
hj	胡
hl	或
hm	黄
hn	很
hp	行
hq	话
hr	横
hs	哈
ht	换
hw	黑
hx	黄
hy	红
hz	好
j	就
jb	进
jc	叫
jd	接
je	车
jf	产
jg	经
jh	决
jj	出
jk	即
jl	局
jm	间
jn	陈
jp	长
jq	久
jr	成
js	加
jt	卷
jw	均
jx	将
jy	囧
jz	超
k	可
kb	亏
kd	口
ke	克
kf	看
kg	快
kh	开
kj	哭
kl	扩
km	况
kn	肯
kp	抗
kq	夸
kr	坑
ks	卡
kt	宽
kw	困
kx	况
ky	空
kz	靠
l	了
lb	林
lc	聊
ld	楼
le	乐
lf	兰
lg	领
lh	来
lj	路
lk	里
ll	落
lm	连
lp	浪
lq	刘
lr	冷
ls	拉
lt	乱
lw	类
lx	两
ly	龙
lz	老
m	没
mb	民
mc	秒
md	某
me	么
mf	满
mg	名
mh	买
mj	目
mk	米
ml	摸
mm	面
mn	们
mp	忙
mq	谬
mr	梦
ms	吗
mw	每
mz	毛
n	你
nb	您
nc	鸟
nd	捏
ne	呢
nf	难
ng	宁
nh	乃
nj	怒
nk	泥
nl	女
nm	年
nn	嫩
nq	牛
nr	能
ns	那
nt	暖
nw	内
nx	娘
ny	弄
nz	闹
p	平
pb	品
pc	票
pd	撇
pf	盘
pg	凭
ph	排
pj	普
pk	批
pl	破
pm	片
pn	盆
pp	旁
pr	碰
ps	怕
pw	配
pz	跑
q	去
qb	亲
qc	桥
qd	且
qe	着
qf	占
qg	请
qh	却
qj	主
qk	起
ql	区
qm	前
qn	真
qp	张
qq	求
qr	正
qs	恰
qt	全
qw	群
qx	强
qy	穷
qz	找
r	人
rb	瑞
rd	肉
re	热
rf	然
rj	如
rk	日
rl	若
rn	任
rp	让
rr	仍
rt	软
rw	润
ry	容
rz	绕
s	三
sb	随
sd	搜
se	色
sf	散
sh	赛
sj	苏
sk	四
sl	所
sn	森
sp	桑
sr	僧
ss	撒
st	算
sw	孙
sy	送
sz	扫
t	他
tb	推
tc	条
td	头
te	特
tf	谈
tg	听
th	太
tj	图
tk	体
tl	托
tm	天
tp	唐
tr	腾
ts	她
tt	团
tw	吞
ty	同
tz	陶
w	我
wb	吹
wd	抽
we	车
wf	完
wg	揣
wh	外
wj	无
wk	吃
wl	握
wm	床
wn	问
wp	望
wr	翁
ws	差
wt	穿
ww	为
wx	床
wy	冲
wz	超
x	而
xb	新
xc	小
xd	些
xe	额
xf	安
xg	行
xh	学
xj	二
xk	西
xl	哦
xm	先
xn	恩
xp	昂
xq	修
xr	嗯
xs	下
xt	选
xw	寻
xx	想
xy	熊
xz	奥
y	一
yb	因
yd	有
ye	也
yf	眼
yg	应
yh	月
yk	以
yl	与
yp	样
ys	压
yt	元
yw	云
yy	用
yz	要
z	在
zb	最
zd	走
ze	则
zh	再
zj	组
zk	字
zl	做
zn	怎
zp	藏
zr	增
zs	咋
zw	贼
zy	总
zz	早
